Date,Affected pages
2025-09-26,120
2025-09-27,120
2025-09-28,120
2025-09-29,120
2025-09-30,122
2025-10-01,122
2025-10-02,122
2025-10-03,122
2025-10-04,121
2025-10-05,121
2025-10-06,121
2025-10-07,121
2025-10-08,121
2025-10-09,121
2025-10-10,121
2025-10-11,120
2025-10-12,120
2025-10-13,120
2025-10-14,120
2025-10-15,120
2025-10-16,120
2025-10-17,120
2025-10-18,120
2025-10-19,120
2025-10-20,120
2025-10-21,120
2025-10-22,120
2025-10-23,120
2025-10-24,120
2025-10-25,122
2025-10-26,122
2025-10-27,122
2025-10-28,123
2025-10-29,123
2025-10-30,123
2025-10-31,123
2025-11-01,122
2025-11-02,122
2025-11-03,122
2025-11-04,122
2025-11-05,122
2025-11-06,122
2025-11-07,122
2025-11-08,121
2025-11-09,121
2025-11-10,121
2025-11-11,121
2025-11-12,121
2025-11-13,121
2025-11-14,121
2025-11-15,121
2025-11-16,121
2025-11-17,121
2025-11-18,121
2025-11-19,121
2025-11-20,121
2025-11-21,121
2025-11-22,128
2025-11-23,128
2025-11-24,128
2025-11-25,128
2025-11-26,128
2025-11-27,128
2025-11-28,128
2025-11-29,128
2025-11-30,128
2025-12-01,128
2025-12-02,128
2025-12-03,128
2025-12-04,128
2025-12-05,128
2025-12-06,128
2025-12-07,128
2025-12-08,128
2025-12-09,128
2025-12-10,128
2025-12-11,128
2025-12-12,128
2025-12-13,128
2025-12-14,128
2025-12-15,10
2025-12-16,10
2025-12-17,10
2025-12-18,10
2025-12-19,10
2025-12-20,10
2025-12-21,10
2025-12-22,10
